# ID	lat[deg]	long[deg]	czHelio[km/s]	Ks	group	groupSize	latGroup[deg]	longGroup[deg]	czGroupHelio[km/s]
09183216+7419085	35.6634	138.3862	2966	9.916	101936	2	35.8119	138.4221	3074
09181898+3333247	44.0663	191.3107	7161	11.646	100034	19	44.4604	191.1429	6680
09182322+6948410	37.7118	143.3949	4396	10.257	102526	2	37.6550	143.3993	4439
09182426+3352027	44.1207	190.8842	6607	11.743	100034	19	44.4604	191.1429	6680
09182597+1618196	39.7241	213.8241	8764	10.403	100085	15	39.5622	212.5957	8410
09182611-3917123	7.0890	264.2540	4720	10.059	102184	2	7.0139	264.1755	4647
09183278+7345335	35.9310	138.9923	2262	9.932	112127	1	35.9310	138.9923	2262
09183577+3433067	44.2343	189.9412	6359	10.622	100034	19	44.4604	191.1429	6680
09183130-1259320	24.6207	243.7737	16652	11.680	104021	1	24.6207	243.7737	16652
09183516+5230524	43.3276	164.9978	7622	9.964	103077	2	43.2714	164.9488	7618
09183669-3800363	8.0010	263.3520	2530	8.280	108956	1	8.0011	263.3520	2530
09184064+1349465	38.8132	216.7991	3483	10.852	112254	1	38.8132	216.7991	3483
09184757+2757231	43.2436	198.9718	8132	10.924	100960	3	43.2072	199.3089	7867
09185796+5122110	43.6042	166.5306	4062	11.579	112543	1	43.6042	166.5305	4062
09185103+2009594	41.1674	209.1157	8808	11.609	100098	11	40.7515	208.9047	8511
09185135-3845073	7.5198	263.9240	5041	9.941	100153	9	8.2627	264.2424	4779
09185282+4106372	44.5928	180.7686	14693	11.464	104232	1	44.5927	180.7686	14693
09185458+5001143	43.8276	168.3713	10285	10.529	105267	1	43.8276	168.3713	10285
09185523+4200133	44.5840	179.5141	12320	11.681	106027	1	44.5840	179.5141	12320
09190222+2616119	42.9214	201.2395	2760	10.187	112149	1	42.9215	201.2395	2760
09190714+2130524	41.6513	207.4358	8207	11.324	108848	1	41.6513	207.4358	8207
09191078+2014344	41.2652	209.0527	8983	10.823	100098	11	40.7515	208.9047	8511
09190585-0642152	28.5330	238.2646	6034	10.822	109887	1	28.5330	238.2646	6034
09191262+5451252	42.9036	161.8391	13857	10.937	100169	8	43.3852	161.3366	14038
09191741+3400290	44.3192	190.7180	7121	11.476	100034	19	44.4604	191.1429	6680
09191853+6912122	38.0467	144.0457	696	7.280	102270	2	38.0274	143.9777	768
09191903+3352510	44.3105	190.8956	6989	11.432	100034	19	44.4604	191.1429	6680
09192241+3344340	44.3066	191.0892	7958	11.169	101803	2	44.4626	191.1967	8091
09192419+3337260	44.2990	191.2551	6339	10.362	100034	19	44.4604	191.1429	6680
09192505+2654326	43.1513	200.4155	8071	11.336	101011	3	43.1927	200.6329	7885
09192774+4910221	44.0476	169.5152	8529	11.644	101787	2	44.1759	169.0742	8392
09193273-1029553	26.3520	241.7662	11316	11.181	105776	1	26.3520	241.7662	11316
09193358-6511521	-10.8994	282.9920	6683	10.594	200522	5	-10.9110	282.9485	6555
09193621+5052460	43.7911	167.1724	8055	11.615	109686	1	43.7911	167.1724	8055
09193485+3353170	44.3657	190.8941	6427	11.754	100034	19	44.4604	191.1429	6680
09193602+3325420	44.3168	191.5333	7058	11.349	100034	19	44.4604	191.1429	6680
09193795+2727275	43.3190	199.6954	7778	10.823	100960	3	43.2072	199.3089	7867
09194142+3344170	44.3714	191.1062	6095	10.825	100034	19	44.4604	191.1429	6680
09194687+3344594	44.3915	191.0929	6948	8.819	100034	19	44.4604	191.1429	6680
09195453+3255594	44.3199	192.2311	14739	11.684	101615	3	44.0389	192.2014	14940
09195542-6854325	-13.4241	285.7751	3360	10.690	211522	1	-13.4241	285.7751	3360
09195518+0056425	32.9939	231.0242	5288	11.262	102049	2	33.0537	230.9635	5196
09195865+2633093	43.1920	200.9303	7681	11.728	101011	3	43.1927	200.6329	7885
09195796+2644543	43.2342	200.6679	7902	11.298	101011	3	43.1927	200.6329	7885
09195785+3355384	44.4491	190.8517	7287	10.885	100034	19	44.4604	191.1429	6680
09195802+3711277	44.7178	186.2843	2257	10.104	112480	1	44.7178	186.2844	2257
09200073+3300104	44.3502	192.1384	15107	11.350	101615	3	44.0389	192.2014	14940
09200184+3306064	44.3664	192.0017	6365	11.482	100034	19	44.4604	191.1429	6680
09200218+0102175	33.0682	230.9487	5104	9.865	102049	2	33.0537	230.9635	5196
09200289+0544085	35.4772	226.0674	11456	11.457	106279	1	35.4771	226.0674	11456
09200250+3342374	44.4409	191.1562	6973	11.449	100034	19	44.4604	191.1429	6680
09200580-7936059	-20.5762	294.0944	11868	11.398	205445	1	-20.5762	294.0944	11868
09200880+3909466	44.8260	183.5103	8369	10.473	100983	3	44.9416	183.4419	8465
09200989-1631334	22.7020	247.0425	2079	9.958	102979	2	22.2261	246.3794	2091
09201539+3956399	44.8569	182.4085	13888	11.580	104841	1	44.8569	182.4086	13888
09202040+6406099	40.1917	150.0140	1730	10.782	101247	3	40.2356	149.8553	1632
09202194-0752503	28.0912	239.5537	3438	10.145	111477	1	28.0911	239.5536	3438
09202342+5456313	43.0477	161.6701	13677	11.644	100169	8	43.3852	161.3366	14038
09203020-1629425	22.7840	247.0733	5195	10.141	109369	1	22.7840	247.0733	5195
09203590+1807346	40.8669	211.8456	8621	11.415	101346	3	40.9970	211.8249	8640
09203631+3339030	44.5506	191.2579	8224	10.697	101803	2	44.4626	191.1967	8091
09203693+3304290	44.4847	192.0606	6456	11.435	100034	19	44.4604	191.1429	6680
09204590+2204346	42.1848	206.8706	10205	10.350	100178	8	42.7484	206.7051	9808
09204067+1506032	39.7629	215.5402	8636	11.639	101987	2	39.7759	215.5379	8538
09204305+3918568	44.9391	183.2974	8317	10.142	100983	3	44.9416	183.4419	8465
09204779+1507042	39.7959	215.5344	8441	11.645	101987	2	39.7759	215.5379	8538
09204765-0802014	28.0850	239.7647	5671	11.197	101908	2	28.0765	239.7724	5785
09204624-0803224	28.0670	239.7811	5899	11.606	101908	2	28.0765	239.7724	5785
09205072+1311282	39.0333	217.8249	4997	10.658	110900	1	39.0333	217.8249	4997
09205267+3522062	44.7757	188.8625	7479	10.981	108678	1	44.7756	188.8625	7479
09205565-0943364	27.0915	241.3119	3906	11.582	112551	1	27.0915	241.3119	3906
09205699-0456242	29.9347	236.9284	7332	10.474	107707	1	29.9347	236.9284	7332
09210055-3311294	11.6929	260.1699	2460	9.307	111352	1	11.6929	260.1699	2460
09210256+4936078	44.2349	168.8683	8256	10.765	101787	2	44.1759	169.0742	8392
09210775+2855470	43.9417	197.7970	10669	11.671	107324	1	43.9416	197.7970	10669
09210656+2418280	42.8856	203.9931	8002	11.463	109387	1	42.8857	203.9932	8002
09210640+7041539	37.5246	142.2625	839	10.779	102270	2	38.0274	143.9777	768
