# pgc	lat[deg]	long[deg]	czHelio[km/s]	mu	muError	group	groupSize	latGroup[deg]	longGroup[deg]	czGroupHelio[km/s]	muGroup	muGroupError
147750	-26.2125	230.4807	11250	35.60	0.50	230014	11	-25.88	230.44	11546	35.94	0.11
147756	-21.3748	217.2641	13054	35.81	0.50	205280	1	-21.37	217.26	13054	35.81	0.50
147761	-26.0161	230.1132	11586	35.76	0.35	230014	11	-25.88	230.44	11546	35.94	0.11
147773	-21.0967	216.9049	12012	36.04	0.50	0	1	-21.10	216.90	12012	36.04	0.50
147782	-25.8783	229.9401	13381	36.33	0.50	200014	11	-24.92	230.27	12923	36.14	0.08
147785	-26.2614	231.2384	12594	36.26	0.50	230014	11	-25.88	230.44	11546	35.94	0.11
147796	-25.7330	229.7896	12585	37.15	0.50	200014	11	-24.92	230.27	12923	36.14	0.08
147811	-25.9197	230.6752	11201	35.60	0.50	0	1	-25.92	230.68	11201	35.60	0.50
147870	-29.7218	249.0345	15219	37.05	0.50	0	1	-29.72	249.03	15219	37.05	0.50
147872	-28.9115	244.6497	13340	35.89	0.50	204812	1	-28.91	244.65	13340	35.89	0.50
147873	-30.5215	254.7768	15538	36.23	0.50	200305	6	-30.46	254.78	14962	36.69	0.13
147875	-25.8448	232.4151	12732	35.80	0.50	205450	1	-25.84	232.42	12732	35.80	0.50
147881	-31.4010	269.5910	15886	36.68	0.50	0	1	-31.40	269.59	15886	36.68	0.50
147884	-27.0749	236.8800	12448	36.26	0.50	205552	1	-27.07	236.88	12448	36.26	0.50
147886	-28.1129	241.0891	13868	36.71	0.50	0	1	-28.11	241.09	13868	36.71	0.50
147888	-30.5693	255.4343	14726	35.98	0.50	200305	6	-30.46	254.78	14962	36.69	0.13
147899	-31.0305	260.7837	15618	36.45	0.50	204049	1	-31.03	260.78	15618	36.45	0.50
147923	-30.4725	255.6888	14676	36.68	0.50	200305	6	-30.46	254.78	14962	36.69	0.13
147929	-27.1904	238.0708	10963	36.03	0.50	200293	6	-26.81	238.37	11009	35.85	0.17
147967	-30.0516	253.4168	14738	36.14	0.50	0	1	-30.05	253.42	14738	36.14	0.50
147984	-24.4061	229.4094	12800	35.79	0.50	200014	11	-24.92	230.27	12923	36.14	0.08
147996	-20.3406	218.6828	12851	37.11	0.50	0	1	-20.34	218.68	12851	37.11	0.50
148028	-24.2382	229.5176	11592	35.96	0.50	0	1	-24.24	229.52	11592	35.96	0.50
148089	-18.8004	218.8925	13331	36.23	0.50	0	1	-18.80	218.89	13331	36.23	0.50
148110	-18.1514	218.8823	6832	34.29	0.50	202127	2	-18.40	218.91	6761	34.29	0.50
148114	-30.1276	272.4316	13636	36.28	0.50	0	1	-30.13	272.43	13636	36.28	0.50
148116	-18.7683	220.7973	6515	34.36	0.50	210452	1	-18.77	220.80	6515	34.36	0.50
148134	-19.1826	222.3941	7732	35.67	0.50	200651	4	-19.05	222.57	7905	35.67	0.50
148147	-29.4693	264.3338	11913	35.58	0.50	205232	1	-29.47	264.33	11913	35.72	0.29
148159	-25.9726	243.6977	12814	36.93	0.50	204191	1	-25.97	243.70	12814	36.46	0.25
148164	-27.8019	252.3442	12042	35.88	0.50	201747	2	-27.76	252.48	12348	35.88	0.35
148174	-22.3158	231.5732	11801	36.40	0.50	0	1	-22.32	231.57	11801	36.40	0.50
148186	-28.5643	257.4987	15707	36.05	0.50	0	1	-28.56	257.50	15707	36.05	0.50
148192	-20.0413	225.5494	8188	35.60	0.50	200796	4	-19.76	225.94	8376	35.38	0.21
148195	-28.8910	260.1183	9616	35.44	0.50	200224	7	-28.95	260.23	9686	35.83	0.29
148204	-25.3449	241.8566	8703	35.29	0.50	208301	1	-25.34	241.86	8703	35.29	0.50
148207	-27.2546	250.1470	12811	36.51	0.50	205400	1	-27.25	250.15	12811	36.51	0.50
148221	-26.0296	245.2098	13985	36.41	0.50	200089	12	-26.15	245.88	13962	36.51	0.14
148230	-29.3958	267.0018	11270	35.91	0.50	200555	4	-29.45	267.48	11095	36.17	0.15
148231	-28.9243	261.9134	9919	35.03	0.50	0	1	-28.92	261.91	9919	35.03	0.50
148234	-29.2690	265.4911	11114	35.89	0.50	0	1	-29.27	265.49	11114	35.89	0.50
148249	-29.1329	264.4262	12408	36.28	0.50	205232	1	-29.13	264.43	12408	35.72	0.29
148282	-27.9088	255.8447	15667	36.89	0.50	203740	1	-27.91	255.84	15667	36.89	0.50
148286	-28.2274	257.9930	9282	35.74	0.50	0	1	-28.23	257.99	9282	35.74	0.50
148289	-29.2037	266.8134	11319	35.93	0.50	200555	4	-29.45	267.48	11095	36.17	0.15
148316	-26.9742	252.3868	11978	36.16	0.50	200028	26	-25.99	252.20	12741	36.19	0.10
148320	-27.7146	256.7959	14742	37.68	0.50	0	1	-27.71	256.80	14742	37.68	0.50
148331	-29.3143	274.7133	10600	36.00	0.50	200242	7	-28.96	275.41	11083	35.80	0.20
148358	-28.8927	269.0556	15735	36.90	0.50	0	1	-28.89	269.06	15735	36.90	0.50
148360	-26.5259	252.0274	12347	35.99	0.50	200028	26	-25.99	252.20	12741	36.19	0.10
148386	-28.8966	270.1855	8911	35.64	0.50	0	1	-28.90	270.19	8911	35.64	0.50
148389	-26.4528	252.2408	11975	36.08	0.50	200028	26	-25.99	252.20	12741	36.19	0.10
148404	-26.3054	252.1396	12703	34.85	0.50	200028	26	-25.99	252.20	12741	36.19	0.10
148422	-21.5393	235.0647	12588	35.55	0.50	0	1	-21.54	235.06	12588	35.55	0.50
148427	-27.1768	257.2591	15608	37.54	0.50	200953	3	-26.88	257.26	15435	37.49	0.20
148438	-26.1747	252.2246	12440	36.06	0.50	200028	26	-25.99	252.20	12741	36.19	0.10
148439	-25.7827	250.4143	13691	37.20	0.50	200028	26	-25.99	252.20	12741	36.19	0.10
148441	-22.4312	238.0750	9275	35.23	0.50	207372	1	-22.43	238.07	9275	35.23	0.50
148454	-26.7324	255.7656	14504	37.07	0.50	0	1	-26.73	255.77	14504	37.07	0.50
148459	-28.1607	265.6855	9606	35.60	0.50	206183	1	-28.16	265.69	9606	35.60	0.50
148469	-26.8104	256.7470	15937	36.82	0.50	200953	3	-26.88	257.26	15435	37.49	0.20
148486	-25.0411	248.7144	15444	36.20	0.50	204252	1	-25.04	248.71	15444	36.20	0.50
148492	-25.3527	251.0401	14101	36.77	0.50	200028	26	-25.99	252.20	12741	36.19	0.10
148494	-25.3359	251.0060	11905	36.33	0.50	200028	26	-25.99	252.20	12741	36.19	0.10
148495	-25.6771	252.5764	12064	35.81	0.50	200028	26	-25.99	252.20	12741	36.19	0.10
148508	-24.8349	249.2671	11943	36.43	0.50	0	1	-24.83	249.27	11943	36.43	0.50
148525	-27.5606	264.0118	12457	36.33	0.50	205878	1	-27.56	264.01	12457	36.07	0.35
148528	-20.4797	234.9410	12311	36.22	0.50	0	1	-20.48	234.94	12311	36.22	0.50
148531	-21.9509	239.3456	14819	36.68	0.50	200905	3	-21.93	239.38	14914	36.68	0.50
148537	-25.2656	251.4943	12138	36.04	0.50	200028	26	-25.99	252.20	12741	36.19	0.10
148567	-26.4757	260.4346	10302	36.96	0.50	207138	1	-26.48	260.43	10302	36.44	0.35
148572	-26.3464	259.7534	11205	35.35	0.50	0	1	-26.35	259.75	11205	35.35	0.50
148588	-27.2758	266.1978	15511	37.30	0.50	203889	1	-27.28	266.20	15511	36.85	0.22
148595	-25.4475	255.6537	13330	35.89	0.50	200405	5	-25.34	256.53	14080	36.52	0.22
148605	-26.2340	259.9335	11049	35.71	0.50	0	1	-26.23	259.93	11049	35.71	0.50
148616	-24.3151	251.1355	13894	37.16	0.50	0	1	-24.32	251.14	13894	37.16	0.50
148629	-21.5192	241.3930	13099	36.71	0.50	0	1	-21.52	241.39	13099	36.71	0.50
148638	-25.9799	259.1735	9862	36.39	0.50	0	1	-25.98	259.17	9862	36.39	0.50
148682	-25.3605	256.9315	14116	36.00	0.50	200405	5	-25.34	256.53	14080	36.52	0.22
148719	-25.1884	258.3367	14783	37.34	0.50	0	1	-25.19	258.34	14783	37.34	0.50
148729	-25.6134	260.6693	12845	35.59	0.50	205215	1	-25.61	260.67	12845	35.59	0.50
148736	-25.3442	259.8280	15706	36.56	0.50	201441	2	-24.87	259.99	15240	36.35	0.29
148757	-26.1082	264.4771	15546	36.79	0.50	200026	26	-24.99	264.01	15424	36.64	0.12
148795	-27.0156	271.6315	12070	36.57	0.50	0	1	-27.02	271.63	12070	36.57	0.50
148806	-25.6692	262.7831	14673	37.16	0.50	200026	26	-24.99	264.01	15424	36.64	0.12
148807	-19.9261	240.9517	13395	36.89	0.50	0	1	-19.93	240.95	13395	36.89	0.50
148834	-27.0928	273.4785	12022	36.39	0.50	0	1	-27.09	273.48	12022	36.39	0.50
148839	-26.4895	268.8613	11699	35.59	0.50	205791	1	-26.49	268.86	11699	35.62	0.35
148844	-26.8792	273.1260	11970	36.42	0.50	0	1	-26.88	273.13	11970	36.42	0.50
148887	-19.0426	244.4274	11142	35.62	0.50	200315	6	-19.60	244.51	10864	35.89	0.35
148888	-21.9869	253.7706	11350	35.47	0.50	205790	1	-21.99	253.77	11350	35.47	0.50
148913	-18.5526	243.5800	7650	36.98	0.50	200634	4	-18.23	243.64	7681	35.81	0.29
148922	-18.1486	242.6604	11851	36.72	0.50	204732	1	-18.15	242.66	11851	36.41	0.35
148924	-24.5827	265.2931	15271	37.19	0.50	200026	26	-24.99	264.01	15424	36.64	0.12
148929	-24.3779	264.3593	15132	38.03	0.50	200026	26	-24.99	264.01	15424	36.64	0.12
148954	-24.1436	264.6950	15636	36.85	0.50	200026	26	-24.99	264.01	15424	36.64	0.12
