# group	groupSize	latGroup[deg]	longGroup[deg]	czGroupHelio[km/s]	muGroup	muGroupError
200153	9	-69.5027	130.3942	5742	34.64	0.31
0	1	-43.3400	125.9900	5446	34.67	0.54
0	1	-53.0700	126.8700	6044	34.81	0.40
208938	1	-67.3592	129.1995	8868	34.91	0.50
0	1	-55.1600	127.2600	2214	32.08	0.30
0	1	-57.3400	300.5600	8431	35.34	0.40
208582	1	-78.1959	135.1118	5598	34.10	0.50
0	1	-59.6900	128.0500	4372	33.88	0.40
200005	48	-30.0035	127.3094	5133	33.92	0.06
202347	2	-64.6864	129.1834	4126	33.70	0.40
0	1	-64.2000	129.4700	5877	34.52	0.40
211177	1	-51.4761	301.0394	2297	32.45	0.30
205381	1	-83.3050	147.2184	12677	35.77	0.50
0	1	-73.9400	295.1100	7124	34.83	0.40
201008	3	-48.5191	127.3536	12301	35.79	0.40
0	1	-40.7500	126.7300	5695	35.12	0.40
0	1	-40.8900	126.7600	-285	24.05	0.12
204547	1	-73.8962	135.2827	14084	35.79	0.35
204135	1	-64.9544	130.3248	15759	36.62	0.40
202676	2	-65.9211	298.0181	7649	34.82	0.28
206727	1	-81.5469	284.7281	10088	35.18	0.40
200530	5	-63.5122	130.4502	5266	35.25	0.50
0	1	-60.5800	129.7400	-236	24.36	0.10
200273	7	-70.5011	295.4641	9169	35.29	0.19
212250	1	-68.8339	132.3598	1123	30.33	0.30
210509	1	-69.0184	131.2334	2347	32.51	0.54
0	1	-73.9700	293.7200	8863	35.16	0.40
200018	32	-70.5747	293.8957	6967	35.06	0.09
0	1	-47.9900	128.0900	12107	36.11	0.40
204906	1	-68.5472	296.4007	14127	35.52	0.50
0	1	-31.3600	126.6100	6272	34.82	0.30
205650	1	-78.8717	141.6589	11207	35.41	0.50
0	1	-61.4200	130.6500	14852	36.70	0.40
200878	3	-78.0813	143.6639	12110	35.61	0.25
200229	7	-81.7956	144.9292	16468	36.47	0.25
0	1	-74.4000	292.0700	8017	34.89	0.40
202078	2	-74.8711	291.6185	6976	35.05	0.50
0	1	-46.0200	128.4300	156	28.36	0.16
203769	1	-75.7147	138.8250	16002	36.20	0.25
212199	1	-47.1863	300.9111	1508	31.69	0.30
200589	4	-23.1456	126.4716	5749	34.36	0.40
201546	2	-82.7502	275.3823	10400	36.42	0.40
200306	6	-60.3642	131.7868	13011	36.29	0.17
207428	1	-60.0605	131.2085	9967	35.90	0.40
205167	1	-55.2379	299.4435	12294	35.81	0.50
0	1	-84.7200	170.5100	8048	35.22	0.40
0	1	-60.9300	131.8000	1964	31.62	0.30
0	1	-74.1600	138.6400	13377	35.94	0.50
0	1	-71.4500	293.2000	9347	35.45	0.40
201158	3	-48.4075	129.2951	11401	35.64	0.40
0	1	-27.0100	127.0300	-47	27.38	0.14
211328	1	-64.2068	133.2763	4032	34.49	0.50
201311	3	-80.4571	280.3086	6579	34.72	0.31
200109	11	-55.4437	298.4314	8229	34.99	0.25
0	1	-64.7600	133.6800	1865	32.36	0.54
0	1	-41.8900	128.7400	5092	33.76	0.40
0	1	-81.4700	153.8700	14632	37.31	0.50
211191	1	-19.6311	126.5609	5046	33.60	0.40
0	1	-80.5000	279.0500	3557	33.82	0.40
0	1	-32.5100	127.7800	6821	34.93	0.40
207690	1	-64.3215	296.2143	7398	35.12	0.50
0	1	-77.5600	144.9700	9117	35.31	0.50
0	1	-74.2500	140.4700	13560	36.26	0.50
201641	2	-76.0696	143.0160	15656	36.82	0.25
208295	1	-68.1958	136.0597	5741	34.12	0.40
0	1	-47.4300	129.9600	11439	35.14	0.40
204869	1	-79.9430	150.7133	12658	36.58	0.35
200277	7	-58.3953	297.0567	5016	34.29	0.40
202750	2	-78.2683	282.5013	3508	33.54	0.30
211851	1	-27.4117	127.5953	4854	34.07	0.54
201380	3	-60.9695	297.1169	5317	34.58	0.31
200599	4	-83.3257	263.7154	10200	35.36	0.50
207968	1	-66.3877	294.6075	7405	34.82	0.40
204971	1	-74.8279	142.8739	13558	35.87	0.29
0	1	-65.1500	135.5400	5815	34.06	0.40
200203	8	-62.8324	134.8609	5399	34.41	0.22
200081	13	-83.2795	257.6101	5697	34.59	0.19
212253	1	-61.4183	134.2167	1158	30.27	0.40
200867	3	-47.0409	130.5981	13653	35.97	0.18
201464	2	-80.6014	153.9251	15594	36.46	0.35
202217	2	-82.0882	269.4183	9987	35.98	0.40
0	1	-27.6900	127.9700	4739	34.65	0.30
202684	2	-46.7114	130.6548	11328	35.78	0.26
200758	4	-61.9906	135.6670	13399	36.27	0.11
0	1	-54.5300	298.4400	5016	33.95	0.40
210282	1	-82.6095	262.6411	3614	33.42	0.40
211796	1	-64.0409	135.9413	4964	34.65	0.40
210391	1	-20.1139	127.4396	5913	34.70	0.40
201104	3	-56.9050	133.9086	5204	34.33	0.28
0	1	-55.5400	133.3200	5530	34.54	0.40
211885	1	-63.8654	136.5594	2053	32.38	0.24
0	1	-55.0300	133.3200	12031	36.38	0.40
0	1	-55.4900	133.5100	5523	34.62	0.40
212254	1	-63.1047	136.3300	1756	31.21	0.30
211847	1	-84.5735	211.3017	3673	32.63	0.40
202994	2	-68.7343	139.9062	6264	34.59	0.50
0	1	-28.7900	128.7200	4210	34.16	0.30
0	1	-62.2100	295.3200	5454	34.22	0.40
200722	4	-83.0636	255.5152	10581	35.02	0.50
0	1	-55.7100	133.8100	2420	32.32	0.40
208715	1	-31.5372	129.1675	4962	33.81	0.30
0	1	-29.1600	128.9200	-194	24.07	0.16
201961	2	-69.8898	140.9141	5435	34.37	0.50
0	1	-64.2500	294.0300	9045	34.88	0.40
